sofifa_id,long_name,short_name,overall
184200,Marko Arnautović,M. Arnautović,82
184941,Alexis Alejandro Sánchez Sánchez,A. Sánchez,82
184942,Giuliano Victor de Paula,Giuliano,82
185103,Aleksandar Kolarov,A. Kolarov,82
186627,Mario  Barwuah Balotelli,M. Balotelli,82
187754,Marlos Romero Bonfim,Marlos,82
188803,Taison Barcellos Freda,Taison,82
189068,Bas Dost,B. Dost,82
189125,Giacomo Bonaventura,G. Bonaventura,82
189505,Pedro Eliezer Rodríguez Ledesma,Pedro,82
189805,Luuk de Jong,L. de Jong,82
190813,Stephan El Shaarawy,S. El Shaarawy,82
191740,Ander Herrera Agüera,Ander Herrera,82
193348,Xherdan Shaqiri,X. Shaqiri,82
193525,Mário Figueira Fernandes,Mário Fernandes,82
197655,Sebastián Coates Nión,S. Coates,82
198951,Cédric Bakambu,C. Bakambu,82
202371,Thomas Meunier,T. Meunier,82
202857,Karim Bellarabi,K. Bellarabi,82
207494,Jesse Lingard,J. Lingard,82
208808,Quincy Anton Promes,Q. Promes,82
208830,Jamie Vardy,J. Vardy,82
215333,Duván Zapata,D. Zapata,82
216475,José Luis Morales Nogales,Morales,82
230168,Raphael William Anjos Rochedo,Raphaelito Anjos,82
230225,Juan Everton Mestres de Mesquita,Juiano Mestres,82
230258,Rosberto J. Dourado Santos,Rosberto Dourado,82
245309,Egidio Maestre Schetino,E. Schetino,82
245313,José María Sildero,J. Sildero,82
231478,Lautaro Martínez,L. Martínez,81
234906,Houssem Aouar,H. Aouar,81
235569,Tanguy NDombèlé Alvaro,T. Ndombele,81
240130,Éder Gabriel Militão,Éder Militão,81
205659,Alessio Cragno,A. Cragno,81
221363,Donny van de Beek,D. van de Beek,81
221660,Victor Nilsson Lindelöf,V. Lindelöf,81
222509,Daniel Ceballos Fernández,Dani Ceballos,81
226456,Pablo Fornals Malla,Pablo Fornals,81
208333,Emre Can,E. Can,81
211688,José Luís Gayà Peña,Gayà,81
236632,David Neres Campos,David Neres,81
210406,Piotr Zieliński,P. Zieliński,81
215316,Gerónimo Rulli,G. Rulli,81
199503,Granit Xhaka,G. Xhaka,81
201400,Rafael Alcântara do Nascimento,Rafinha,81
201455,Geoffrey Kondogbia,G. Kondogbia,81
204923,Marcel Sabitzer,M. Sabitzer,81
205988,Luke Shaw,L. Shaw,81
207877,Josef Alexander Martínez,J. Martínez,81
208135,Abdoulaye Doucouré,A. Doucouré,81
226790,Onyinye Wilfred Ndidi,W. Ndidi,81
200316,Timo Horn,T. Horn,81
204638,Willi Orban,W. Orban,81
206467,Alassane Plea,A. Plea,81
207791,Yussuf Yurary Poulsen,Y. Poulsen,81
207807,Ryan Fraser,R. Fraser,81
207862,Matthias Ginter,M. Ginter,81
209889,Raphaël Guerreiro,R. Guerreiro,81
212814,João Mário Naval Costa Eduardo,João Mário,81
213874,Thiago Henrique Mendes Ribeiro,Thiago Mendes,81
216145,Armando Izzo,A. Izzo,81
216352,Marcelo Brozović,M. Brozović,81
190544,Adem Ljajić,A. Ljajić,81
193165,Jesús Corona,J. Corona,81
199575,Jordi Masip López,Jordi Masip,81
204120,Tomáš Vaclík,T. Vaclík,81
206304,Luka Milivojević,L. Milivojević,81
208093,Gerard Moreno Balagueró,Gerard Moreno,81
223689,Wout Weghorst,W. Weghorst,81
20775,Ricardo Andrade Quaresma Bernardo,Quaresma,81
112316,Jérémy Mathieu,J. Mathieu,81
138412,James Philip Milner,J. Milner,81
142707,Lisandro López,L. López,81
159145,Bafétimbi Gomis,B. Gomis,81
162240,Moussa Sidi Yaya Dembélé,M. Dembélé,81
162895,Francesc Fàbregas i Soler,Cesc Fàbregas,81
163489,Andrea Consigli,A. Consigli,81
165229,Laurent Koscielny,L. Koscielny,81
168530,Jardel Nivaldo Vieira,Jardel,81
169195,Renato  Soares de Oliveira Augusto,Renato Augusto,81
171791,José Miguel da Rocha Fonte,José Fonte,81
171897,José Andrés Guardado Hernández,A. Guardado,81
173771,Łukasz Piszczek,L. Piszczek,81
176600,Kévin Gameiro,K. Gameiro,81
177388,Dimitri  Payet,D. Payet,81
177600,Beñat Etxebarria Urkiaga,Beñat,81
178086,Antonio Adán Garrido,Adán,81
179784,Benedikt Höwedes,B. Höwedes,81
182494,Fernando Muslera,F. Muslera,81
183394,Moussa Sissoko,M. Sissoko,81
183498,Marco Parolo,M. Parolo,81
184134,Fernando Francisco Reges,Fernando,81
184144,Osvaldo Nicolás Fabián Gaitán,N. Gaitán,81
184431,Sebastian Giovinco,S. Giovinco,81
185221,Luiz Gustavo Dias,Luiz Gustavo,81
188829,Nicolas N'Koulou,N. Nkoulou,81
191202,Nemanja Matić,N. Matić,81
